"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"0593500016",true,0,"USD",28,28,100,83,4.7,"https://www.amazon.com/dp/0593500016","390.10",false,false,true,false,"The Emotional Lives of Teenagers: Raising Connected, Capable, and Compassionate Adolescents","https://m.media-amazon.com/images/I/81oSi2+nslL._AC_UY218_.jpg"
1,2,2,"B08CPB4Y7W",false,0,"USD",0,0,0,834,4.7,"https://www.amazon.com/dp/B08CPB4Y7W","3919.80",false,false,false,false,"Good Vibes Coloring Book For Teens: A Motivational and Calming Quotes Coloring Book For Teenagers With Positive Sayings an...","https://m.media-amazon.com/images/I/71yO1V5sFFS._AC_UY218_.jpg"
1,3,3,"1914986008",true,9.99,"USD",17.35,7.36,42.42,1172,4.5,"https://www.amazon.com/dp/1914986008","5274.00",false,false,true,false,"The DBT Skills Workbook for Teens: A Fun Guide to Manage Anxiety and Stress, Understand Your Emotions and Learn Effective ...","https://m.media-amazon.com/images/I/61v9hlK7WaL._AC_UY218_.jpg"
1,4,4,"1951806409",true,16.54,"USD",23.99,7.45,31.05,7416,4.6,"https://www.amazon.com/dp/1951806409","34113.60",false,false,true,false,"Life Skills for Teens: How to Cook, Clean, Manage Money, Fix Your Car, Perform First Aid, and Just About Everything in Bet...","https://m.media-amazon.com/images/I/71eA+3k5PzL._AC_UY218_.jpg"
1,5,5,"1476764662",true,0,"USD",14.95,14.95,100,12881,4.6,"https://www.amazon.com/dp/1476764662","59252.60",false,false,false,false,"The 7 Habits of Highly Effective Teens","https://m.media-amazon.com/images/I/71oOAa+N3GL._AC_UY218_.jpg"
1,6,6,"1951806468",false,0,"USD",0,0,0,486,4.7,"https://www.amazon.com/dp/1951806468","2284.20",false,false,false,false,"Life Skills for Teenage Girls: How to Be Healthy, Avoid Drama, Manage Money, Be Confident, Fix Your Car, Unclog Your Sink,...","https://m.media-amazon.com/images/I/61ySnc5vQLL._AC_UY218_.jpg"
1,7,7,"B0BMSZSW5F",true,0,"USD",13,13,100,183,4.9,"https://www.amazon.com/dp/B0BMSZSW5F","896.70",false,false,false,false,"A Growth Mindset For Teens: Practical Lessons & Activities To Build Confidence, Problem Solve, Grow Skills, And Become Res...","https://m.media-amazon.com/images/I/61Cis7pXxmL._AC_UY218_.jpg"
1,8,8,"1914986091",true,0,"USD",13,13,100,393,4.7,"https://www.amazon.com/dp/1914986091","1847.10",false,false,false,false,"The Anxiety Toolkit for Teens: Easy and Practical CBT and DBT Tools to Manage your Stress Anxiety Worry and Panic (Life Sk...","https://m.media-amazon.com/images/I/61PUHQCl1ZL._AC_UY218_.jpg"
2,1,9,"0553393073",true,0,"USD",18.49,18.49,100,4258,4.7,"https://www.amazon.com/dp/0553393073","20012.60",false,false,true,false,"Untangled: Guiding Teenage Girls Through the Seven Transitions into Adulthood","https://m.media-amazon.com/images/I/81Liy+a1D6L._AC_UY218_.jpg"
2,2,10,"B09M2XQ9CK",false,0,"USD",0,0,0,109,4.5,"https://www.amazon.com/dp/B09M2XQ9CK","490.50",false,false,false,false,"Activity Book for Teens: Fun Puzzle Book for Teenagers; Word Searches, Crosswords, Mazes, Cryptograms, Unscramble, Sudoku,...","https://m.media-amazon.com/images/I/61ZbDmpxxuL._AC_UY218_.jpg"
