"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B00UCNHBMA",false,0,"USD",0,0,0,123,3.8,"https://www.amazon.com/dp/B00UCNHBMA","467.40",false,false,true,false,"Free Money For Nearly Anything: Start a Business, Buy a New Home, Free Benefits for Veterans","https://m.media-amazon.com/images/I/81weBRkVsCL._AC_UY218_.jpg"
1,2,2,"B005SZNE78",true,15.65,"USD",20.97,5.32,25.37,22,4.2,"https://www.amazon.com/dp/B005SZNE78","92.40",false,false,false,false,"The Origins of Business, Money, and Markets (Columbia Business School Publishing)","https://m.media-amazon.com/images/I/615vnygNVtL._AC_UY218_.jpg"
1,3,3,"B00NWJ71CQ",false,3.99,"USD",0,0,0,95,4.2,"https://www.amazon.com/dp/B00NWJ71CQ","399.00",false,false,false,false,"HOW TO BUY A BUSINESS WITH NO MONEY: Learn The Secrets Of Overnight Millionaires.","https://m.media-amazon.com/images/I/61wNerSwaRL._AC_UY218_.jpg"
1,4,4,"B0052MD8VO",true,14.99,"USD",18,3.01,16.72,5130,4.5,"https://www.amazon.com/dp/B0052MD8VO","23085.00",false,false,false,false,"Your Money or Your Life: 9 Steps to Transforming Your Relationship with Money and Achieving Financial Independence: Fully ...","https://m.media-amazon.com/images/I/81of+NGS50L._AC_UY218_.jpg"
1,5,5,"B00E6XGPLA",false,0,"USD",0,0,0,161,3.6,"https://www.amazon.com/dp/B00E6XGPLA","579.60",false,false,false,false,"How to Get Free Government Grants - A Step by Step Guide for Getting Free Money From the Government","https://m.media-amazon.com/images/I/81Xv7FLU8IL._AC_UY218_.jpg"
1,6,6,"B01CTMI7R4",false,0,"USD",0,0,0,203,3.9,"https://www.amazon.com/dp/B01CTMI7R4","791.70",false,false,false,false,"How to Work From Home and Make Money in 2023: 13 Proven Home-Based Businesses You Can Start Today (Work from Home Series: ...","https://m.media-amazon.com/images/I/71+hIE18f9L._AC_UY218_.jpg"
1,7,7,"B09KZQC5RG",true,0,"USD",13,13,100,8,4.8,"https://www.amazon.com/dp/B09KZQC5RG","38.40",false,false,false,false,"Business & Money: The Art Of Hustling Backwards","https://m.media-amazon.com/images/I/81-H9th0SxL._AC_UY218_.jpg"
1,8,8,"B00ZK5R50I",true,9.99,"USD",17.35,7.36,42.42,76,4.7,"https://www.amazon.com/dp/B00ZK5R50I","357.20",false,false,false,false,"Making Money Is Killing Your Business: Second Edition: How to Build a Business You'll Love and Have a Life, Too","https://m.media-amazon.com/images/I/71mTmQLfvcL._AC_UY218_.jpg"
2,1,9,"B09QT3Y69V",true,16.99,"USD",17.99,1,5.56,789,4.4,"https://www.amazon.com/dp/B09QT3Y69V","3471.60",false,false,false,false,"Money Men: A Hot Startup, A Billion Dollar Fraud, A Fight for the Truth","https://m.media-amazon.com/images/I/71cOsz60jQL._AC_UY218_.jpg"
2,2,10,"B0BMM6SPWQ",true,11.49,"USD",14.99,3.5,23.35,594,4.6,"https://www.amazon.com/dp/B0BMM6SPWQ","2732.40",false,false,false,false,"Raising Private Capital, Revised Edition: Building Your Real Estate Empire Using Other People's Money","https://m.media-amazon.com/images/I/81LKdAInkKL._AC_UY218_.jpg"
2,3,11,"B0743JNFBZ",true,11.99,"USD",17.99,6,33.35,225,4.4,"https://www.amazon.com/dp/B0743JNFBZ","990.00",false,false,false,false,"Big Money Thinks Small: Biases, Blind Spots, and Smarter Investing (Columbia Business School Publishing)","https://m.media-amazon.com/images/I/81ax0XkR6nL._AC_UY218_.jpg"
2,4,12,"B00I8VCO2A",false,0,"USD",0,0,0,22,3.4,"https://www.amazon.com/dp/B00I8VCO2A","74.80",false,false,false,false,"App Millionaire: Start Your Own Business Make money selling iPhone and iPad apps and gain freedom","https://m.media-amazon.com/images/I/81JYw6+ehGL._AC_UY218_.jpg"
2,6,14,"B0BY3DSD2Q",false,0,"USD",0,0,0,1,3,"https://www.amazon.com/dp/B0BY3DSD2Q","3.00",false,false,false,false,"THE POWER OF BUSINESS AND MONEY: MASTERING THE GAME OF MONEY: UNLEASHING THE POWER OF BUSINESS AND WEALTH CREATION","https://m.media-amazon.com/images/I/61KrWPIAxkL._AC_UY218_.jpg"
2,7,15,"B003NX6ZNW",false,2.99,"USD",0,0,0,22,4.6,"https://www.amazon.com/dp/B003NX6ZNW","101.20",false,false,false,false,"Prices and Production and Other Works on Money, the Business Cycle, and the Gold Standard (LvMI)","https://m.media-amazon.com/images/I/71g4QRoarZL._AC_UY218_.jpg"
2,8,16,"B09B5YJFNF",true,0,"USD",13,13,100,2,5,"https://www.amazon.com/dp/B09B5YJFNF","10.00",false,false,false,false,"Budgeting for Beginners-Budgeting 101 for Men, Women, Couples, Parents and Businesses. An Introduction to Money Management...","https://m.media-amazon.com/images/I/81+glvnVyZL._AC_UY218_.jpg"
3,1,17,"B00916ARYS",true,9.99,"USD",22,12.01,54.59,4251,4.5,"https://www.amazon.com/dp/B00916ARYS","19129.50",false,false,false,false,"How to Make Money in Stocks: A Winning System in Good Times and Bad, Fourth Edition","https://m.media-amazon.com/images/I/81OCtAWc5kL._AC_UY218_.jpg"
3,2,18,"B00D5BDK4Y",false,4.99,"USD",0,0,0,723,4.7,"https://www.amazon.com/dp/B00D5BDK4Y","3398.10",false,false,false,false,"The Young Entrepreneur's Guide to Starting and Running a Business: Turn Your Ideas into Money!","https://m.media-amazon.com/images/I/911ZvIUMCjL._AC_UY218_.jpg"
3,3,19,"B09NCPWCQ9",true,0.99,"USD",12.95,11.96,92.36,84,4.2,"https://www.amazon.com/dp/B09NCPWCQ9","352.80",false,false,false,false,"The No-Fluff Business: The 90-Day Guide to More Money, Freedom, and Purpose Online","https://m.media-amazon.com/images/I/71BhAffi-VL._AC_UY218_.jpg"
3,4,20,"B001OI1YIY",false,9.99,"USD",0,0,0,131,4,"https://www.amazon.com/dp/B001OI1YIY","524.00",false,false,false,false,"The Laundrymen - Inside Money Laundering, The World's Third Largest Business","https://m.media-amazon.com/images/I/91XRjTqIZIL._AC_UY218_.jpg"
3,5,21,"B003SNJZ3Y",true,12.99,"USD",21,8.01,38.14,1300,4.5,"https://www.amazon.com/dp/B003SNJZ3Y","5850.00",false,false,false,false,"More Money Than God: Hedge Funds and the Making of a New Elite","https://m.media-amazon.com/images/I/61RamY7h4bL._AC_UY218_.jpg"
3,6,22,"B00JT59PGM",true,0.99,"USD",14.99,14,93.4,21,4.7,"https://www.amazon.com/dp/B00JT59PGM","98.70",false,false,false,false,"The Money Code: Free, wise and rich (Raimon Samsó collection in english)","https://m.media-amazon.com/images/I/71keEHmYwLL._AC_UY218_.jpg"
3,7,23,"B07P667363",false,9.99,"USD",0,0,0,8,3.3,"https://www.amazon.com/dp/B07P667363","26.40",false,false,false,false,"Unclaimed Money Business Guide (2022): How to Make $200/hr or More Reuniting People with their Lost Money","https://m.media-amazon.com/images/I/81XjJqunhHL._AC_UY218_.jpg"
3,8,24,"B002PYFW5W",true,5.99,"USD",15,9.01,60.07,550,4.4,"https://www.amazon.com/dp/B002PYFW5W","2420.00",false,false,false,false,"The History of Money","https://m.media-amazon.com/images/I/81AqsekU8pL._AC_UY218_.jpg"
4,1,25,"B077H5RRTQ",true,0,"USD",17.35,17.35,100,80,4.3,"https://www.amazon.com/dp/B077H5RRTQ","344.00",false,false,false,false,"The Book on Small Business Ideas: Level up your mindset, launch high-cash-flow money machines, and finally quit your job t...","https://m.media-amazon.com/images/I/81wIhVE6RcL._AC_UY218_.jpg"
4,2,26,"B00E8NIMP0",true,9.99,"USD",17.35,7.36,42.42,622,4.3,"https://www.amazon.com/dp/B00E8NIMP0","2674.60",false,false,false,false,"Money: A Love Story: Untangle Your Financial Woes and Create the Life You Really Want","https://m.media-amazon.com/images/I/71YNr01MDIL._AC_UY218_.jpg"
