"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B08PDVJZHJ",false,0,"USD",0,0,0,514,4.6,"https://www.amazon.com/dp/B08PDVJZHJ","2364.40",false,false,false,false,"The Children of the Gods Series Books 7-10: Dark Warrior Tetralogy","https://m.media-amazon.com/images/I/81uLg1xcFHL._AC_UY218_.jpg"
1,2,2,"B005KGJXAW",true,8.99,"USD",14.99,6,40.03,828,4.7,"https://www.amazon.com/dp/B005KGJXAW","3891.60",false,false,false,false,"Dragonbreath #1","https://m.media-amazon.com/images/I/917QslaCuUL._AC_UY218_.jpg"
1,3,3,"B01J64JI26",false,0,"USD",0,0,0,99,4.4,"https://www.amazon.com/dp/B01J64JI26","435.60",false,false,false,false,"Books for Kids: The Jungle - The Complete Series: Kids Chapter Book, Kids Fantasy Book, Kids Mystery Book, Kids Funny Boo...","https://m.media-amazon.com/images/I/715G8KzHJEL._AC_UY218_.jpg"
1,4,4,"B00HBYEAD6",true,0,"USD",14.95,14.95,100,1390,4.8,"https://www.amazon.com/dp/B00HBYEAD6","6672.00",false,false,false,false,"Diary of a 6th Grade Ninja 7: Scavengers (a hilarious adventure for children ages 9-12)","https://m.media-amazon.com/images/I/91PEEdUoMdL._AC_UY218_.jpg"
1,5,5,"B06XP2FV2C",false,0,"USD",0,0,0,467,4.6,"https://www.amazon.com/dp/B06XP2FV2C","2148.20",false,false,false,false,"My Fox Ate My Cake (a hilarious fantasy for children ages 7-10)","https://m.media-amazon.com/images/I/718OkXDY25S._AC_UY218_.jpg"
1,6,6,"B08GJ6NDJ9",true,0,"USD",6.04,6.04,100,152,4.8,"https://www.amazon.com/dp/B08GJ6NDJ9","729.60",false,false,false,false,"Scaredy Bat and the Missing Jellyfish: An Illustrated Mystery Chapter Book for Kids 7-10 (Scaredy Bat: A Vampire Detective...","https://m.media-amazon.com/images/I/71+K0zs2a7L._AC_UY218_.jpg"
1,7,7,"B003MVZ3WE",true,0,"USD",20.9,20.9,100,4494,4.6,"https://www.amazon.com/dp/B003MVZ3WE","20672.40",false,false,false,false,"The Secret Zoo","https://m.media-amazon.com/images/I/51OGm4XwFhL._AC_UY218_.jpg"
1,8,8,"B0BVX5VCMX",true,7.99,"USD",10.99,3,27.3,64,4.9,"https://www.amazon.com/dp/B0BVX5VCMX","313.60",false,false,false,false,"I Guess I Became the Mother of the Great Demon King's 10 Children in Another World Vol. 7","https://m.media-amazon.com/images/I/91ZRwpS4PyL._AC_UY218_.jpg"
2,1,9,"B010RCTC3G",true,0,"USD",15.55,15.55,100,10412,4.7,"https://www.amazon.com/dp/B010RCTC3G","48936.40",false,false,false,false,"Lots of Knock-Knock Jokes for Kids","https://m.media-amazon.com/images/I/71xQw+7G4HL._AC_UY218_.jpg"
2,2,10,"B0BBQSVQL9",true,0,"USD",10.99,10.99,100,95,4.7,"https://www.amazon.com/dp/B0BBQSVQL9","446.50",false,false,false,false,"P.I. Butterfly: Gone Guppy","https://m.media-amazon.com/images/I/71cW+br6UwL._AC_UY218_.jpg"
2,3,11,"B00T3DNKE8",true,8.99,"USD",13.97,4.98,35.65,27339,4.8,"https://www.amazon.com/dp/B00T3DNKE8","131227.20",false,false,false,false,"Charlotte's Web (Trophy Newbery)","https://m.media-amazon.com/images/I/91TlXcRxk+L._AC_UY218_.jpg"
2,4,12,"B0030CVPY0",false,5.99,"USD",0,0,0,433,4.8,"https://www.amazon.com/dp/B0030CVPY0","2078.40",false,false,false,false,"Who Was Franklin Roosevelt? (Who Was?)","https://m.media-amazon.com/images/I/810-o7ILYCL._AC_UY218_.jpg"
