"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B084FKDGBP",true,4.99,"USD",32,27.01,84.41,3544,4.7,"https://www.amazon.com/dp/B084FKDGBP","16656.80",false,false,false,false,"The Well Plated Cookbook: Fast, Healthy Recipes You'll Want to Eat","https://m.media-amazon.com/images/I/91+neBo2AbL._AC_UY218_.jpg"
1,2,2,"B08FH7L3Z8",true,17.99,"USD",34.99,17,48.59,1134,4.7,"https://www.amazon.com/dp/B08FH7L3Z8","5329.80",false,false,false,false,"The Complete Salad Cookbook: A Fresh Guide to 200+ Vibrant Dishes Using Greens, Vegetables, Grains, Proteins, and More (Th...","https://m.media-amazon.com/images/I/91E3y5Ii3XL._AC_UY218_.jpg"
1,3,3,"B0714B1Y42",false,14.99,"USD",0,0,0,10944,4.6,"https://www.amazon.com/dp/B0714B1Y42","50342.40",false,false,false,false,"The How Not to Die Cookbook: 100+ Recipes to Help Prevent and Reverse Disease","https://m.media-amazon.com/images/I/71WHuADkVeL._AC_UY218_.jpg"
1,5,5,"B086T52W4N",true,0,"USD",21.99,21.99,100,14858,4.8,"https://www.amazon.com/dp/B086T52W4N","71318.40",false,false,true,false,"The Unofficial Disney Parks Cookbook: From Delicious Dole Whip to Tasty Mickey Pretzels, 100 Magical Disney-Inspired Recip...","https://m.media-amazon.com/images/I/81gOO+rZHiL._AC_UY218_.jpg"
1,6,6,"B01HMXV0UQ",true,19.99,"USD",37.5,17.51,46.69,21918,4.8,"https://www.amazon.com/dp/B01HMXV0UQ","105206.40",false,false,false,false,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking","https://m.media-amazon.com/images/I/71ViIJ-LzwL._AC_UY218_.jpg"
1,8,8,"B007HBY8JE",true,1.99,"USD",35,33.01,94.31,85,4.4,"https://www.amazon.com/dp/B007HBY8JE","374.00",false,false,true,false,"The Food52 Cookbook, Volume 2: Seasonal Recipes from Our Kitchens to Yours","https://m.media-amazon.com/images/I/813WdeTsQvL._AC_UY218_.jpg"
2,1,9,"B01MU23NZI",true,12.99,"USD",29.99,17,56.69,7155,4.8,"https://www.amazon.com/dp/B01MU23NZI","34344.00",false,false,false,false,"Half Baked Harvest Cookbook: Recipes from My Barn in the Mountains","https://m.media-amazon.com/images/I/91T0bXo1FWL._AC_UY218_.jpg"
2,2,10,"B09TZQ7182",true,13.99,"USD",32.5,18.51,56.95,962,4.8,"https://www.amazon.com/dp/B09TZQ7182","4617.60",false,false,false,false,"Downshiftology Healthy Meal Prep: 100+ Make-Ahead Recipes and Quick-Assembly Meals: A Gluten-Free Cookbook","https://m.media-amazon.com/images/I/91h7DR35ZdL._AC_UY218_.jpg"
2,3,11,"B005C757EA",true,13.99,"USD",35,21.01,60.03,2566,4.7,"https://www.amazon.com/dp/B005C757EA","12060.20",false,false,false,false,"The Tucci Cookbook","https://m.media-amazon.com/images/I/71jdy3Cx3bL._AC_UY218_.jpg"
2,5,13,"B00S3RK81S",true,5.99,"USD",100,94.01,94.01,217,4.7,"https://www.amazon.com/dp/B00S3RK81S","1019.90",false,false,false,false,"The NoMad Cookbook","https://m.media-amazon.com/images/I/7132KzZmgaL._AC_UY218_.jpg"
