"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B07PXGJ7CM",true,52.99,"USD",229,176.01,76.86,89,4.7,"https://www.amazon.com/dp/B07PXGJ7CM","418.30",false,false,false,false,"Children Moving: A Reflective Approach to Teaching Physical Education","https://m.media-amazon.com/images/I/71C1a4CG-gL._AC_UY218_.jpg"
1,2,2,"B004UJXE5A",false,0,"USD",0,0,0,18,3.7,"https://www.amazon.com/dp/B004UJXE5A","66.60",false,false,false,false,"The Education of Children","https://m.media-amazon.com/images/I/910-LPTnxeL._AC_UY218_.jpg"
1,3,3,"B0083ZY7SU",true,0,"USD",5.2,5.2,100,15,3.4,"https://www.amazon.com/dp/B0083ZY7SU","51.00",false,false,false,false,"The Education of the Child","https://m.media-amazon.com/images/I/91yyuFZoZYL._AC_UY218_.jpg"
1,4,4,"B08LHKJHJV",true,33.24,"USD",44.99,11.75,26.12,461,4.6,"https://www.amazon.com/dp/B08LHKJHJV","2120.60",false,false,false,false,"Anti-Bias Education for Young Children and Ourselves, Second Edition","https://m.media-amazon.com/images/I/811ycc9qUrL._AC_UY218_.jpg"
1,5,5,"B073FQ1HXJ",true,23.65,"USD",140,116.35,83.11,26,4.6,"https://www.amazon.com/dp/B073FQ1HXJ","119.60",false,false,false,false,"Multicultural Education of Children and Adolescents","https://m.media-amazon.com/images/I/61vut8hjhhL._AC_UY218_.jpg"
1,6,6,"B07R7F1TQK",true,74.99,"USD",126.65,51.66,40.79,202,4.5,"https://www.amazon.com/dp/B07R7F1TQK","909.00",false,false,false,false,"Child Development and Education","https://m.media-amazon.com/images/I/51UodHZJwqL._AC_UY218_.jpg"
1,7,7,"B07C6JDWT8",true,10.13,"USD",28.95,18.82,65.01,147,4.6,"https://www.amazon.com/dp/B07C6JDWT8","676.20",false,false,false,false,"What If Everybody Understood Child Development?: Straight Talk About Bettering Education and Children′s Lives","https://m.media-amazon.com/images/I/51WtuH+9jLL._AC_UY218_.jpg"
1,8,8,"B08KGWLCFM",false,12,"USD",0,0,0,9,5,"https://www.amazon.com/dp/B08KGWLCFM","45.00",false,false,false,false,"The Advanced Montessori Method, Volume I: Scientific Pedagogy as applied to the education of Children (Montessori series B...","https://m.media-amazon.com/images/I/61jvf8S-iPL._AC_UY218_.jpg"
2,1,9,"B01CDOSUFW",true,0.99,"USD",1.99,1,50.25,116,4.7,"https://www.amazon.com/dp/B01CDOSUFW","545.20",false,false,false,false,"The Education of the Child - and Early Lectures on Education","https://m.media-amazon.com/images/I/91iY-Blen6L._AC_UY218_.jpg"
2,2,10,"B0BCHMD8J9",true,41.49,"USD",54.95,13.46,24.49,9,3.7,"https://www.amazon.com/dp/B0BCHMD8J9","33.30",false,false,false,false,"The Education of Children (Psychology Revivals)","https://m.media-amazon.com/images/I/41m7t9PkCCL._AC_UY218_.jpg"
2,3,11,"B0BXQYZR9Z",false,0,"USD",0,0,0,2,4.5,"https://www.amazon.com/dp/B0BXQYZR9Z","9.00",false,false,false,false,"Montessori Cosmic Education, The Child’s Discovery of a Global Vision and a Cosmic Task (Brief Montessori Introductions)","https://m.media-amazon.com/images/I/81JJBjmOiFL._AC_UY218_.jpg"
2,4,12,"B01MXJFKPX",true,32.36,"USD",115,82.64,71.86,30,4.9,"https://www.amazon.com/dp/B01MXJFKPX","147.00",false,false,false,false,"Teaching Exceptional Children: Foundations and Best Practices in Inclusive Early Childhood Education Classrooms","https://m.media-amazon.com/images/I/517AKuhIFfL._AC_UY218_.jpg"
2,6,14,"B01F7R91PA",true,44.99,"USD",106.65,61.66,57.82,535,4.6,"https://www.amazon.com/dp/B01F7R91PA","2461.00",false,false,false,false,"Exceptional Children: An Introduction to Special Education (What's New in Special Education)","https://m.media-amazon.com/images/I/61+11Ta79XL._AC_UY218_.jpg"
2,7,15,"B00SVESADQ",true,0,"USD",12.95,12.95,100,3,4.2,"https://www.amazon.com/dp/B00SVESADQ","12.60",false,false,false,false,"Children's Christian Education: 12 Essentials for Effective Church Ministry to Children and Their Families","https://m.media-amazon.com/images/I/61LnDJfrPWL._AC_UY218_.jpg"
2,8,16,"B01BHSQ8R2",true,74.99,"USD",126.65,51.66,40.79,497,4.6,"https://www.amazon.com/dp/B01BHSQ8R2","2286.20",false,false,false,false,"Child, Family, and Community: Family-Centered Early Care and Education","https://m.media-amazon.com/images/I/61gEGxFr2XL._AC_UY218_.jpg"
3,1,17,"B07R5CFCLS",true,74.99,"USD",93.32,18.33,19.64,184,4.6,"https://www.amazon.com/dp/B07R5CFCLS","846.40",false,false,false,false,"Assessment in Early Childhood Education","https://m.media-amazon.com/images/I/51hbQ5NglzL._AC_UY218_.jpg"
3,2,18,"B00688M5UQ",true,3.99,"USD",11.95,7.96,66.61,6,5,"https://www.amazon.com/dp/B00688M5UQ","30.00",false,false,false,false,"Child Age & Education: A Spirit of Prophecy Compilation","https://m.media-amazon.com/images/I/61HtHROW6-L._AC_UY218_.jpg"
3,3,19,"B003ODJ1DC",true,0,"USD",20.95,20.95,100,9,4.3,"https://www.amazon.com/dp/B003ODJ1DC","38.70",false,false,false,false,"Greater Expectations: Nuturing Children's Natural Moral Growth","https://m.media-amazon.com/images/I/712jSI5RfoL._AC_UY218_.jpg"
3,4,20,"B084GS4VBD",true,74.99,"USD",79.99,5,6.25,383,4.6,"https://www.amazon.com/dp/B084GS4VBD","1761.80",false,false,false,false,"Who Am I in the Lives of Children? An Introduction to Early Childhood Education","https://m.media-amazon.com/images/I/51Wqqm-XvCL._AC_UY218_.jpg"
3,5,21,"B08Z7Q4KHR",false,74.99,"USD",0,0,0,11,4.9,"https://www.amazon.com/dp/B08Z7Q4KHR","53.90",false,false,false,false,"Exceptional Children: An Introduction to Special Education","https://m.media-amazon.com/images/I/512HFQ8sSIL._AC_UY218_.jpg"
3,6,22,"B08CS3WMHV",true,21.49,"USD",28,6.51,23.25,132,4.7,"https://www.amazon.com/dp/B08CS3WMHV","620.40",false,false,false,false,"The Essentials: Supporting Young Children with Disabilities in the Classroom (The Essentials Series)","https://m.media-amazon.com/images/I/71c90wwB8cL._AC_UY218_.jpg"
3,7,23,"B0C1TF6CQQ",true,2.99,"USD",9.99,7,70.07,3,5,"https://www.amazon.com/dp/B0C1TF6CQQ","15.00",false,false,false,false,"Five Minute Value Stories for Children: Modern and Traditional Value Education for Children to be Kind and Responsible","https://m.media-amazon.com/images/I/81LgR+w-jvL._AC_UY218_.jpg"
3,8,24,"B00PG0PTW8",true,17.02,"USD",30.95,13.93,45.01,131,4.6,"https://www.amazon.com/dp/B00PG0PTW8","602.60",false,false,false,false,"Supervision in Early Childhood Education, 3rd Edition (Early Childhood Education Series)","https://m.media-amazon.com/images/I/51u05vDHVqL._AC_UY218_.jpg"
4,1,25,"B0C1X4GJTQ",false,0,"USD",0,0,0,2,3,"https://www.amazon.com/dp/B0C1X4GJTQ","6.00",false,false,false,false,"Cursive Handwriting Practice: Children's Reading & Writing Education Books: Enjoy, learn and practise cursive writing with...","https://m.media-amazon.com/images/I/712lyNSdNYL._AC_UY218_.jpg"
4,2,26,"B00U9UD5YY",false,0.99,"USD",0,0,0,2,3,"https://www.amazon.com/dp/B00U9UD5YY","6.00",false,false,false,false,"The Essential Guide To Teach Your Child How To Read-Teach Your Child To Read In 30 Days Or Less (Teach Your Child How to R...","https://m.media-amazon.com/images/I/81vpWFNEtlL._AC_UY218_.jpg"
4,3,27,"B004EEODA6",false,4.99,"USD",0,0,0,85,4.6,"https://www.amazon.com/dp/B004EEODA6","391.00",false,false,false,false,"Teaching Children Compassionately: How Students and Teachers Can Succeed with Mutual Understanding (Nonviolent Communicati...","https://m.media-amazon.com/images/I/71jqEEnm+XL._AC_UY218_.jpg"
4,5,29,"B00B7LPYPC",false,41.99,"USD",0,0,0,131,4.4,"https://www.amazon.com/dp/B00B7LPYPC","576.40",false,false,false,false,"Exceptional Children and Youth","https://m.media-amazon.com/images/I/715iHAgAFcL._AC_UY218_.jpg"
4,6,30,"B01NCHO65S",true,11.99,"USD",17.99,6,33.35,322,4.7,"https://www.amazon.com/dp/B01NCHO65S","1513.40",false,false,false,false,"How Children Learn (50th anniversary edition) (A Merloyd Lawrence Book)","https://m.media-amazon.com/images/I/71SGOyN7KxL._AC_UY218_.jpg"
4,7,31,"B0B1PF3MFY",true,29.49,"USD",38.95,9.46,24.29,4,5,"https://www.amazon.com/dp/B0B1PF3MFY","20.00",false,false,false,false,"Global Citizenship Education for Young Children: Practice in the Preschool Classroom","https://m.media-amazon.com/images/I/61y4L5S-9KL._AC_UY218_.jpg"
4,8,32,"B0772HF89Q",false,9.99,"USD",0,0,0,17,4.7,"https://www.amazon.com/dp/B0772HF89Q","79.90",false,false,false,false,"The Future of Children: Providing a love-based education for every child","https://m.media-amazon.com/images/I/713k9RTb37L._AC_UY218_.jpg"
5,1,33,"B09JM3534L",true,3.42,"USD",4.99,1.57,31.46,8,5,"https://www.amazon.com/dp/B09JM3534L","40.00",false,false,false,false,"Take Charge of Your Child's Education!","https://m.media-amazon.com/images/I/71ukI9rWfRL._AC_UY218_.jpg"
5,2,34,"B083ZLVFWJ",true,47.49,"USD",54.95,7.46,13.58,3,3.7,"https://www.amazon.com/dp/B083ZLVFWJ","11.10",false,false,false,false,"Nature Education with Young Children: Integrating Inquiry and Practice","https://m.media-amazon.com/images/I/51P7K53JxTL._AC_UY218_.jpg"
5,3,35,"B00CJI3QCA",true,19.77,"USD",35.95,16.18,45.01,44,4.5,"https://www.amazon.com/dp/B00CJI3QCA","198.00",false,false,false,false,"Inclusion in the Early Childhood Classroom: What Makes a Difference? (Early Childhood Education)","https://m.media-amazon.com/images/I/91sSQqy40cL._AC_UY218_.jpg"
5,4,36,"B00ABM3DYC",true,16.55,"USD",69.95,53.4,76.34,10,4,"https://www.amazon.com/dp/B00ABM3DYC","40.00",false,false,false,false,"The Pastoral Care of Children (Haworth Religion and Mental Health)","https://m.media-amazon.com/images/I/81KPOMdolCL._AC_UY218_.jpg"
5,5,37,"B07G3WVZRJ",true,2.99,"USD",3.99,1,25.06,1,5,"https://www.amazon.com/dp/B07G3WVZRJ","5.00",false,false,false,false,"Nurturing the Souls of Our Children: Education and the Culture of Democracy","https://m.media-amazon.com/images/I/717IwTPpO7L._AC_UY218_.jpg"
5,6,38,"B072KBWB6G",true,14.99,"USD",18,3.01,16.72,1150,4.7,"https://www.amazon.com/dp/B072KBWB6G","5405.00",false,false,false,false,"The Self-Driven Child: The Science and Sense of Giving Your Kids More Control Over Their Lives","https://m.media-amazon.com/images/I/81S8Jf6iWFL._AC_UY218_.jpg"
5,7,39,"B0BZK1NFM8",false,0,"USD",0,0,0,7,5,"https://www.amazon.com/dp/B0BZK1NFM8","35.00",false,false,false,false,"Toilet Training for Autistic & SEND Children and Adults : A step-by-step guide to toilet-train children & adults with auti...","https://m.media-amazon.com/images/I/71u12W4PAwL._AC_UY218_.jpg"
5,8,40,"B07RMTNR88",true,0,"USD",59.99,59.99,100,20,3.8,"https://www.amazon.com/dp/B07RMTNR88","76.00",false,false,false,false,"Play-Responsive Teaching in Early Childhood Education (International Perspectives on Early Childhood Education and Develop...","https://m.media-amazon.com/images/I/61c9CJVvjuL._AC_UY218_.jpg"
6,1,41,"B08D7X1JBV",true,11.99,"USD",24.99,13,52.02,6,4.8,"https://www.amazon.com/dp/B08D7X1JBV","28.80",false,false,false,false,"Learning Stories and Teacher Inquiry Groups: Re-imagining Teaching and Assessment in Early Childhood Education","https://m.media-amazon.com/images/I/81Qe3hI6M8S._AC_UY218_.jpg"
6,2,42,"B079PWYK9H",false,9.99,"USD",0,0,0,9,4,"https://www.amazon.com/dp/B079PWYK9H","36.00",false,false,false,false,"Early Childhood Gifted Education: Fostering Talent Development (NAGC Select)","https://m.media-amazon.com/images/I/81shWFxlTBL._AC_UY218_.jpg"
