"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B07W19WWZK",true,0,"USD",22.99,22.99,100,185,4.3,"https://www.amazon.com/dp/B07W19WWZK","795.50",false,false,false,false,"Fairy Tales: From Around the World (Fairy Tale Book, Bedtime Stories for Kids ages 6-12)","https://m.media-amazon.com/images/I/91f347X3cqL._AC_UY218_.jpg"
1,2,2,"B00A73FCFI",true,8.99,"USD",12.95,3.96,30.58,101,4.5,"https://www.amazon.com/dp/B00A73FCFI","454.50",false,false,false,false,"Perrault's Fairy Tales (Dover Children's Classics)","https://m.media-amazon.com/images/I/A1uBld5YYXL._AC_UY218_.jpg"
1,3,3,"B00VOK2CYM",true,0.99,"USD",21.7,20.71,95.44,2809,4.7,"https://www.amazon.com/dp/B00VOK2CYM","13202.30",false,false,false,false,"Anderson's Fairy Tales (Xist Classics)","https://m.media-amazon.com/images/I/71R8+Z8mymL._AC_UY218_.jpg"
1,4,4,"B0714PR31L",true,1.99,"USD",3.99,2,50.13,12,4.7,"https://www.amazon.com/dp/B0714PR31L","56.40",false,false,false,false,"CZECHOSLOVAK FAIRY TALES - 15 Czech, Slovak and Moravian folk and fairy tales for children","https://m.media-amazon.com/images/I/81a5Wboav5L._AC_UY218_.jpg"
1,5,5,"B07887JL61",false,6.99,"USD",0,0,0,8,4.1,"https://www.amazon.com/dp/B07887JL61","32.80",false,false,false,false,"Classic Fairy Tales","https://m.media-amazon.com/images/I/81r3SgDtM0L._AC_UY218_.jpg"
1,6,6,"B00YQ30SSG",true,0.99,"USD",37.8,36.81,97.38,356,4.4,"https://www.amazon.com/dp/B00YQ30SSG","1566.40",false,false,false,false,"The Complete Fairy Tales of Hans Christian Andersen (127 Stories in one volume) : From the most beloved writer of childre...","https://m.media-amazon.com/images/I/91OI9B-QlsL._AC_UY218_.jpg"
1,7,7,"B074QG713T",true,1.99,"USD",11.99,10,83.4,13,4.6,"https://www.amazon.com/dp/B074QG713T","59.80",false,false,false,false,"Fables and Fairy Tales: Aesop's Fables, Hans Christian Andersen's Fairy Tales, Grimm's Fairy Tales, and The Blue Fairy Book","https://m.media-amazon.com/images/I/91JYVh6q0rL._AC_UY218_.jpg"
1,8,8,"B00KVTS1B0",true,0.99,"USD",2.99,2,66.89,8736,4.4,"https://www.amazon.com/dp/B00KVTS1B0","38438.40",false,false,false,false,"Grimm's Fairy Tales","https://m.media-amazon.com/images/I/812lOLBTe5L._AC_UY218_.jpg"
2,1,9,"B0097IXIR8",false,0,"USD",0,0,0,10,3.7,"https://www.amazon.com/dp/B0097IXIR8","37.00",false,false,false,false,"27 Classic Fairy Tales for Kids","https://m.media-amazon.com/images/I/61QQewRL60L._AC_UY218_.jpg"
2,2,10,"B09QH62H19",false,2.99,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B09QH62H19","5.00",false,false,false,false,"Lucille, the Fairies and the Wizard: Children's fairy tales for beginners: Bedtime stories for children ages 5-7 (A Collec...","https://m.media-amazon.com/images/I/71zKUwdBimL._AC_UY218_.jpg"
2,3,11,"B07V9PRQR8",true,2.99,"USD",22.52,19.53,86.72,149,4.8,"https://www.amazon.com/dp/B07V9PRQR8","715.20",false,false,false,false,"Fairy Tales for Fearless Girls (Inspiring Heroines Book 1)","https://m.media-amazon.com/images/I/91YK7iMYOmL._AC_UY218_.jpg"
2,4,12,"B08943XW7Z",false,2.38,"USD",0,0,0,273,4.3,"https://www.amazon.com/dp/B08943XW7Z","1173.90",false,false,false,false,"My First 5 Minutes Fairy tales Rapunzel: Traditional Fairy Tales For Children (Abridged and Retold)","https://m.media-amazon.com/images/I/81csac4l2aL._AC_UY218_.jpg"
2,5,13,"B00A73AXKC",false,0.99,"USD",0,0,0,37,4.3,"https://www.amazon.com/dp/B00A73AXKC","159.10",false,false,false,false,"Jewish Fairy Tales (Dover Children's Thrift Classics)","https://m.media-amazon.com/images/I/71kEih5j91L._AC_UY218_.jpg"
2,6,14,"B00UVOPVOA",false,0,"USD",0,0,0,37,4.5,"https://www.amazon.com/dp/B00UVOPVOA","166.50",false,false,false,false,"Goldilocks and the Three Bears: An Interactive Fairy Tale Adventure (You Choose: Fractured Fairy Tales)","https://m.media-amazon.com/images/I/918IJhV0iuL._AC_UY218_.jpg"
2,7,15,"B0189AJAQC",false,6.6,"USD",0,0,0,14,4.6,"https://www.amazon.com/dp/B0189AJAQC","64.40",false,false,false,false,"Cinderella and the Incredible Techno-Slippers (Fairy Tales Today)","https://m.media-amazon.com/images/I/81xa0wvUmQL._AC_UY218_.jpg"
2,8,16,"B00A0B09IM",true,3,"USD",6.63,3.63,54.75,54,4.3,"https://www.amazon.com/dp/B00A0B09IM","232.20",false,false,false,false,"Chinese Fairy Tales (Dover Children's Thrift Classics)","https://m.media-amazon.com/images/I/71CVie9rY6L._AC_UY218_.jpg"
3,1,17,"B00A736I06",true,5.37,"USD",19.95,14.58,73.08,7,3.8,"https://www.amazon.com/dp/B00A736I06","26.60",false,false,false,false,"Indian Fairy Tales (Dover Children's Classics)","https://m.media-amazon.com/images/I/5113+Q23RTL._AC_UY218_.jpg"
3,2,18,"B07WJ1QRCD",false,3.99,"USD",0,0,0,5,4.7,"https://www.amazon.com/dp/B07WJ1QRCD","23.50",false,false,false,false,"CROATIAN TALES OF LONG AGO - 6 unique Croatian Fairy Tales for Children","https://m.media-amazon.com/images/I/81WXBNd0CaL._AC_UY218_.jpg"
3,3,19,"B01DR2DLC6",false,0,"USD",0,0,0,312,4.2,"https://www.amazon.com/dp/B01DR2DLC6","1310.40",false,false,false,false,"Grimm's Fairy Tales: The Complete First Edition (Coterie Classics)","https://m.media-amazon.com/images/I/91RGYYJVAOL._AC_UY218_.jpg"
3,4,20,"B0C1BP278R",false,0,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B0C1BP278R","5.00",false,false,false,false,"Enchanted Tales: Classic Fairy Tales for Children","https://m.media-amazon.com/images/I/81mWfHDdOmL._AC_UY218_.jpg"
