"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B00C0JCZZM",true,8.49,"USD",9.99,1.5,15.02,60,4.4,"https://www.amazon.com/dp/B00C0JCZZM","264.00",false,false,false,false,"101 Muscle-Building Workouts & Nutrition Plans (101 Workouts)","https://m.media-amazon.com/images/I/71rfr7ScH5L._AC_UY218_.jpg"
1,2,2,"B08C9JQF2P",false,0,"USD",0,0,0,217,4.5,"https://www.amazon.com/dp/B08C9JQF2P","976.50",false,false,false,false,"Make Fitness A Priority: 30 Tips to Elevate Your Life Through Fitness","https://m.media-amazon.com/images/I/818VzhJl86L._AC_UY218_.jpg"
1,3,3,"B07GR5T5WN",true,49.25,"USD",105.12,55.87,53.15,164,4.4,"https://www.amazon.com/dp/B07GR5T5WN","721.60",false,false,false,false,"Concepts of Fitness And Wellness: A Comprehensive Lifestyle Approach","https://m.media-amazon.com/images/I/81Ymc3TXZOL._AC_UY218_.jpg"
1,4,4,"B012P8CRL4",true,0,"USD",13,13,100,143,4.5,"https://www.amazon.com/dp/B012P8CRL4","643.50",false,false,false,false,"1% Fitness: Move Better. Train Smarter. Live Longer.","https://m.media-amazon.com/images/I/71lwGvj8DHL._AC_UY218_.jpg"
1,5,5,"B01GQPYVRK",true,0,"USD",13,13,100,242,4.1,"https://www.amazon.com/dp/B01GQPYVRK","992.20",false,false,false,false,"Fitness & Exercise Motivation: Fitness Success Tips for Mindset Development and Personal Fitness Planner Creation (Home Wo...","https://m.media-amazon.com/images/I/915lkB9d5oL._AC_UY218_.jpg"
1,6,6,"B06XTPMLS1",false,0,"USD",0,0,0,15,4.1,"https://www.amazon.com/dp/B06XTPMLS1","61.50",false,false,false,false,"Dumbbell Training for Strength and Fitness","https://m.media-amazon.com/images/I/81-Tx78B+ZL._AC_UY218_.jpg"
1,7,7,"B0BYDH39Y9",false,0,"USD",0,0,0,19,4.9,"https://www.amazon.com/dp/B0BYDH39Y9","93.10",false,false,false,false,"Fitness Freedom for Seniors: 15-Minute Strength Training Workouts to Reclaim Your Balance, Energy, and Confidence","https://m.media-amazon.com/images/I/81hE1tKvBBL._AC_UY218_.jpg"
1,8,8,"B00DONI7AK",true,9.99,"USD",14.99,5,33.36,2788,4.5,"https://www.amazon.com/dp/B00DONI7AK","12546.00",false,false,false,false,"FITNESS CONFIDENTIAL: Adventures in the Weight-Loss Game","https://m.media-amazon.com/images/I/91gvycMGaCL._AC_UY218_.jpg"
2,1,9,"B08NWD59SN",true,17.99,"USD",24.95,6.96,27.9,104,4.7,"https://www.amazon.com/dp/B08NWD59SN","488.80",false,false,false,false,"Fascial Fitness, Second Edition: Practical Exercises to Stay Flexible, Active and Pain Free in Just 20 Minutes a Week","https://m.media-amazon.com/images/I/914AlotY12L._AC_UY218_.jpg"
2,2,10,"B09MJ54JQ9",false,0,"USD",0,0,0,1503,4.7,"https://www.amazon.com/dp/B09MJ54JQ9","7064.10",false,false,false,false,"Fitness Can Kill: Patricia Fisher: Ship's Detective - A Cozy Mystery Adventure","https://m.media-amazon.com/images/I/81XYO5hjdSL._AC_UY218_.jpg"
2,3,11,"B01DOQCAWC",false,0,"USD",0,0,0,84,4.3,"https://www.amazon.com/dp/B01DOQCAWC","361.20",false,false,false,false,"Spiritual Fitness: A Guide to managing your emotions, understanding their messages and clearing unwanted patterns for the ...","https://m.media-amazon.com/images/I/511QwuozgQL._AC_UY218_.jpg"
